,Symbol,Security,GICS Sector,Headquarters Location
439,TFX,Teleflex,Health Care,"Wayne, Pennsylvania"
440,TER,Teradyne,Information Technology,"North Reading, Massachusetts"
441,TSLA,Tesla,Consumer Discretionary,"Palo Alto, California"
442,TXN,Texas Instruments,Information Technology,"Dallas, Texas"
443,TXT,Textron,Industrials,"Providence, Rhode Island"
444,TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts"
445,TJX,TJX Companies,Consumer Discretionary,"Framingham, Massachusetts"
446,TSCO,Tractor Supply Company,Consumer Discretionary,"Brentwood, Tennessee"
447,TT,Trane Technologies,Industrials,"Dublin, Ireland"
448,TDG,TransDigm Group,Industrials,"Cleveland, Ohio"
449,TRV,The Travelers Companies,Financials,"New York City, New York"
450,TRMB,Trimble,Information Technology,"Sunnyvale, California"
451,TFC,Truist Financial,Financials,"Charlotte, North Carolina"
452,TWTR,Twitter,Communication Services,"San Francisco, California"
453,TYL,Tyler Technologies,Information Technology,"Plano, Texas"
454,TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas"
455,UDR,UDR,Real Estate,"Highlands Ranch, Colorado"
456,ULTA,Ulta Beauty,Consumer Discretionary,"Bolingbrook, Illinois"
457,USB,U.S. Bancorp,Financials,"Minneapolis, Minnesota"
458,UAA,Under Armour (Class A),Consumer Discretionary,"Baltimore, Maryland"
459,UA,Under Armour (Class C),Consumer Discretionary,"Baltimore, Maryland"
460,UNP,Union Pacific,Industrials,"Omaha, Nebraska"
461,UAL,United Airlines,Industrials,"Chicago, Illinois"
462,UNH,UnitedHealth Group,Health Care,"Minnetonka, Minnesota"
463,UPS,United Parcel Service,Industrials,"Sandy Springs, Georgia"
464,URI,United Rentals,Industrials,"Stamford, Connecticut"
465,UHS,Universal Health Services,Health Care,"King of Prussia, Pennsylvania"
466,VLO,Valero Energy,Energy,"San Antonio, Texas"
467,VTR,Ventas,Real Estate,"Chicago, Illinois"
468,VRSN,Verisign,Information Technology,"Dulles, Virginia"
469,VRSK,Verisk Analytics,Industrials,"Jersey City, New Jersey"
470,VZ,Verizon Communications,Communication Services,"New York City, New York"
471,VRTX,Vertex Pharmaceuticals,Health Care,"Cambridge, Massachusetts"
472,VFC,VF Corporation,Consumer Discretionary,"Denver, Colorado"
473,VIAC,ViacomCBS,Communication Services,"New York City, New York"
474,VTRS,Viatris,Health Care,"Pittsburgh, Pennsylvania"
475,V,Visa,Information Technology,"San Francisco, California"
476,VNO,Vornado Realty Trust,Real Estate,"New York City, New York"
477,VMC,Vulcan Materials,Materials,"Birmingham, Alabama"
478,WRB,W. R. Berkley Corporation,Financials,"Greenwich, Connecticut"
479,WAB,Wabtec,Industrials,"Pittsburgh, Pennsylvania"
480,WMT,Walmart,Consumer Staples,"Bentonville, Arkansas"
481,WBA,Walgreens Boots Alliance,Consumer Staples,"Deerfield, Illinois"
482,DIS,The Walt Disney Company,Communication Services,"Burbank, California"
483,WM,Waste Management,Industrials,"Houston, Texas"
484,WAT,Waters Corporation,Health Care,"Milford, Massachusetts"
485,WEC,WEC Energy Group,Utilities,"Milwaukee, Wisconsin"
486,WFC,Wells Fargo,Financials,"San Francisco, California"
487,WELL,Welltower,Real Estate,"Toledo, Ohio"
488,WST,West Pharmaceutical Services,Health Care,"Exton, Pennsylvania"
489,WDC,Western Digital,Information Technology,"San Jose, California"
490,WU,Western Union,Information Technology,"Englewood, Colorado"
491,WRK,WestRock,Materials,"Atlanta, Georgia"
492,WY,Weyerhaeuser,Real Estate,"Seattle, Washington"
493,WHR,Whirlpool Corporation,Consumer Discretionary,"Benton Harbor, Michigan"
494,WMB,Williams Companies,Energy,"Tulsa, Oklahoma"
495,WLTW,Willis Towers Watson,Financials,"London, England"
496,WYNN,Wynn Resorts,Consumer Discretionary,"Paradise, Nevada"
497,XEL,Xcel Energy,Utilities,"Minneapolis, Minnesota"
498,XLNX,Xilinx,Information Technology,"San Jose, California"
499,XYL,Xylem,Industrials,"White Plains, New York"
500,YUM,Yum! Brands,Consumer Discretionary,"Louisville, Kentucky"
501,ZBRA,Zebra Technologies,Information Technology,"Lincolnshire, Illinois"
502,ZBH,Zimmer Biomet,Health Care,"Warsaw, Indiana"
503,ZION,Zions Bancorp,Financials,"Salt Lake City, Utah"
504,ZTS,Zoetis,Health Care,"Parsippany, New Jersey"
