,Symbol,Security,GICS Sector,Headquarters Location
100,CF,CF Industries,Materials,"Deerfield, Illinois"
101,CRL,Charles River Laboratories,Health Care,"Wilmington, Massachusetts"
102,SCHW,Charles Schwab,Financials,"Westlake, Texas"
103,CHTR,Charter Communications,Communication Services,"Stamford, Connecticut"
104,CVX,Chevron,Energy,"San Ramon, California"
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,"Newport Beach, California"
106,CB,Chubb,Financials,"Zurich, Switzerland"
107,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey"
108,CI,Cigna,Health Care,"Bloomfield, Connecticut"
109,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio"
110,CTAS,Cintas Corporation,Industrials,"Mason, Ohio"
111,CSCO,Cisco Systems,Information Technology,"San Jose, California"
112,C,Citigroup,Financials,"New York City, New York"
113,CFG,Citizens Financial Group,Financials,"Providence, Rhode Island"
114,CTXS,Citrix Systems,Information Technology,"Fort Lauderdale, Florida"
115,CLX,Clorox,Consumer Staples,"Oakland, California"
116,CME,CME Group,Financials,"Chicago, Illinois"
117,CMS,CMS Energy,Utilities,"Jackson, Michigan"
118,KO,Coca-Cola,Consumer Staples,"Atlanta, Georgia"
119,CTSH,Cognizant Technology Solutions,Information Technology,"Teaneck, New Jersey"
120,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York"
121,CMCSA,Comcast,Communication Services,"Philadelphia, Pennsylvania"
122,CMA,Comerica,Financials,"Dallas, Texas"
123,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois"
124,COP,ConocoPhillips,Energy,"Houston, Texas"
125,ED,Consolidated Edison,Utilities,"New York City, New York"
126,STZ,Constellation Brands,Consumer Staples,"Victor, New York"
127,COO,The Cooper Companies,Health Care,"San Ramon, California"
128,CPRT,Copart,Industrials,"Dallas, Texas"
129,GLW,Corning,Information Technology,"Corning, New York"
130,CTVA,Corteva,Materials,"Wilmington, Delaware"
131,COST,Costco,Consumer Staples,"Issaquah, Washington"
132,CTRA,Coterra,Energy,"Houston, Texas"
133,CCI,Crown Castle,Real Estate,"Houston, Texas"
134,CSX,CSX,Industrials,"Jacksonville, Florida"
135,CMI,Cummins,Industrials,"Columbus, Indiana"
136,CVS,CVS Health,Health Care,"Woonsocket, Rhode Island"
137,DHI,D. R. Horton,Consumer Discretionary,"Arlington, Texas"
138,DHR,Danaher,Health Care,"Washington, D.C."
139,DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida"
140,DVA,DaVita,Health Care,"Denver, Colorado"
141,DE,Deere & Co.,Industrials,"Moline, Illinois"
142,DAL,Delta Air Lines,Industrials,"Atlanta, Georgia"
143,XRAY,Dentsply Sirona,Health Care,"Charlotte, North Carolina"
